N,P,K,temperature,humidity,ph,rainfall,label,State
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango,Himachal Pradesh
29,34,26,33.88004781,54.39416048,6.2739536760000005,89.29147581,mango,Himachal Pradesh
8,37,33,28.07802689,54.9640534,6.128167757000001,97.45373619,mango,Himachal Pradesh
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango,Himachal Pradesh
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,mango,Himachal Pradesh
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango,Himachal Pradesh
21,21,30,27.69819273,51.41593238,5.403908327999999,100.7720705,mango,Himachal Pradesh
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango,Himachal Pradesh
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,mango,Himachal Pradesh
18,26,31,32.611261400000004,47.74916499,5.418475257000001,91.10190759,mango,Himachal Pradesh
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes,Himachal Pradesh
13,144,204,30.7280404,82.42614055,6.092241627000001,68.38135469,grapes,Himachal Pradesh
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes,Himachal Pradesh
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes,Himachal Pradesh
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes,Himachal Pradesh
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes,Himachal Pradesh
35,140,197,16.77557314,82.75241875,6.106190557000001,66.76285469,grapes,Himachal Pradesh
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes,Himachal Pradesh
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes,Himachal Pradesh
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes,Himachal Pradesh
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes,Himachal Pradesh
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes,Himachal Pradesh
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes,Himachal Pradesh
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes,Himachal Pradesh
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes,Himachal Pradesh
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes,Himachal Pradesh
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes,Himachal Pradesh
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes,Himachal Pradesh
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,grapes,Himachal Pradesh
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes,Himachal Pradesh
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes,Himachal Pradesh
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,grapes,Himachal Pradesh
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,grapes,Himachal Pradesh
25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes,Himachal Pradesh
15,125,199,18.426993600000007,80.55625868,5.569230319,69.75734306,grapes,Himachal Pradesh
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes,Himachal Pradesh
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes,Himachal Pradesh
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes,Himachal Pradesh
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes,Himachal Pradesh
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,grapes,Himachal Pradesh
26,135,203,33.78372897,81.16314317,5.6851027689999984,74.53557341,grapes,Himachal Pradesh
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes,Himachal Pradesh
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,grapes,Himachal Pradesh
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,grapes,Himachal Pradesh
20,142,196,10.89875873,80.01639435,6.207600782999999,68.69420397,grapes,Himachal Pradesh
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,grapes,Himachal Pradesh
3,134,199,20.28370163,81.32235739,5.81717753,71.06611222,grapes,Himachal Pradesh
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,grapes,Himachal Pradesh
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,grapes,Himachal Pradesh
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,grapes,Himachal Pradesh
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes,Himachal Pradesh
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes,Himachal Pradesh
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes,Himachal Pradesh
0,137,195,22.4359017,80.18612085,6.329499832000001,65.3973168,grapes,Himachal Pradesh
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,grapes,Himachal Pradesh
31,136,197,31.11047251,83.34010951,5.653776057999999,71.43001582,grapes,Himachal Pradesh
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,grapes,Himachal Pradesh
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes,Himachal Pradesh
8,127,196,27.02766138,83.17093908,5.833302165,70.95666003,grapes,Himachal Pradesh
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes,Himachal Pradesh
32,120,204,10.38004759,83.44518113,6.138958698,67.39173790000001,grapes,Himachal Pradesh
12,142,203,31.3115978,82.56407013,5.972850837999999,65.01095312,grapes,Himachal Pradesh
8,133,195,20.46657776,80.97598029,6.456079585,71.29813872,grapes,Himachal Pradesh
8,139,199,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes,Himachal Pradesh
21,134,202,10.72302459,80.02130636,6.425419926,65.29821120000001,grapes,Himachal Pradesh
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes,Himachal Pradesh
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes,Himachal Pradesh
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,grapes,Himachal Pradesh
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes,Himachal Pradesh
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,grapes,Himachal Pradesh
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes,Himachal Pradesh
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes,Himachal Pradesh
32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes,Himachal Pradesh
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes,Himachal Pradesh
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes,Himachal Pradesh
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,grapes,Himachal Pradesh
40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,grapes,Himachal Pradesh
40,132,202,24.57558351,80.70695797,5.9718130060000005,69.706113,grapes,Himachal Pradesh
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes,Himachal Pradesh
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,grapes,Himachal Pradesh
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes,Himachal Pradesh
8,120,196,24.06679352,82.66396666,6.053662544,69.81855775,grapes,Himachal Pradesh
34,133,202,15.31413469,80.09711412,5.804799142,74.82144653,grapes,Himachal Pradesh
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,grapes,Himachal Pradesh
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,grapes,Himachal Pradesh
8,136,201,41.65602996,82.22118237,5.6092559920000005,74.19664838,grapes,Himachal Pradesh
25,129,195,17.98667801,81.17712085,5.777271492000001,72.37127689,grapes,Himachal Pradesh
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,grapes,Himachal Pradesh
39,129,203,34.38922481,83.18392806,5.863996687,71.03001556,grapes,Himachal Pradesh
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes,Himachal Pradesh
33,120,205,35.12158265,82.26890793,5.550832177999999,69.71518491,grapes,Himachal Pradesh
35,125,204,19.6491772,80.15215777,6.107741787999999,73.69529586,grapes,Himachal Pradesh
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes,Himachal Pradesh
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes,Himachal Pradesh
28,145,202,19.2077707,82.90428409999998,6.484323189,66.83113717,grapes,Himachal Pradesh
6,128,200,25.96308415,82.57813624,5.838748311,70.31782647,grapes,Himachal Pradesh
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes,Himachal Pradesh
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes,Himachal Pradesh
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,grapes,Himachal Pradesh
38,120,197,17.5438296,82.94703302,6.323722572,73.77063744,grapes,Himachal Pradesh
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes,Himachal Pradesh
14,121,203,9.724457611,83.74765639,6.1586894060000015,74.46411148,grapes,Himachal Pradesh
6,125,204,27.92004934,82.93262435,5.7335398070000005,69.92092839,grapes,Himachal Pradesh
32,138,197,9.535585543,80.73112694,5.908724337000001,69.44115171,grapes,Himachal Pradesh
11,124,204,13.42988625,80.06633966,6.361141107000001,71.40043037,grapes,Himachal Pradesh
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes,Himachal Pradesh
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes,Himachal Pradesh
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes,Himachal Pradesh
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes,Himachal Pradesh
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,grapes,Himachal Pradesh
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon,Himachal Pradesh
119,19,55,25.18780042,83.44621709,6.818261382999999,46.87420883,watermelon,Himachal Pradesh
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon,Himachal Pradesh
114,8,50,24.74631269,88.30866319,6.581587932000001,57.95826144,watermelon,Himachal Pradesh
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon,Himachal Pradesh
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon,Himachal Pradesh
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon,Himachal Pradesh
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon,Himachal Pradesh
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon,Himachal Pradesh
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon,Himachal Pradesh
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,watermelon,Himachal Pradesh
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon,Himachal Pradesh
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon,Himachal Pradesh
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon,Himachal Pradesh
104,17,46,25.7131428,80.22972777,6.190015912000001,43.08961827,watermelon,Himachal Pradesh
95,12,51,25.76484262,84.17269959999999,6.681606702000001,44.22066914,watermelon,Himachal Pradesh
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon,Himachal Pradesh
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon,Himachal Pradesh
81,18,50,26.80750629,88.22874955,6.429788072999999,58.79889057,watermelon,Himachal Pradesh
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon,Himachal Pradesh
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon,Himachal Pradesh
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon,Himachal Pradesh
120,19,49,25.79448878,84.26830701,6.762471628999998,56.45229202,watermelon,Himachal Pradesh
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon,Himachal Pradesh
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon,Himachal Pradesh
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon,Himachal Pradesh
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon,Himachal Pradesh
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,watermelon,Himachal Pradesh
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon,Himachal Pradesh
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon,Himachal Pradesh
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon,Himachal Pradesh
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon,Himachal Pradesh
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon,Himachal Pradesh
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon,Himachal Pradesh
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon,Himachal Pradesh
108,22,46,26.17668721,86.72952049999998,6.121168559,53.33484977,watermelon,Himachal Pradesh
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,watermelon,Himachal Pradesh
117,27,48,26.53259325,82.39053979,6.835268183999999,54.30660782,watermelon,Himachal Pradesh
109,10,53,26.81938687,87.8274604,6.5517503060000015,46.06193778,watermelon,Himachal Pradesh
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon,Himachal Pradesh
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,watermelon,Himachal Pradesh
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon,Himachal Pradesh
86,6,53,25.92030221,83.47202566,6.921847887999999,42.10681516,watermelon,Himachal Pradesh
107,5,52,26.6634609,89.98405233,6.8814257460000015,57.40847165,watermelon,Himachal Pradesh
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon,Himachal Pradesh
101,20,48,24.6774157,82.75411437,6.206247493999999,57.05709413,watermelon,Himachal Pradesh
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon,Himachal Pradesh
84,7,51,26.81530456,87.65694462,6.399669044,55.74073582,watermelon,Himachal Pradesh
102,28,54,25.15623099,80.27525115,6.862157042000001,55.49541453,watermelon,Himachal Pradesh
98,25,52,25.2801372,83.15393658,6.224066378,49.29456609,watermelon,Himachal Pradesh
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon,Himachal Pradesh
90,16,45,24.92093261,80.61750795,6.291540277999999,50.55710813,watermelon,Himachal Pradesh
95,12,46,26.21667586,81.01009354,6.32281728,54.65423596,watermelon,Himachal Pradesh
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon,Himachal Pradesh
82,25,51,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon,Himachal Pradesh
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,watermelon,Himachal Pradesh
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,watermelon,Himachal Pradesh
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon,Himachal Pradesh
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon,Himachal Pradesh
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,watermelon,Himachal Pradesh
101,13,54,25.42900869,82.91481799,6.828982708,56.34144589,watermelon,Himachal Pradesh
101,17,55,24.37118217,87.1269128,6.451499763999999,44.63907691,watermelon,Himachal Pradesh
111,6,53,26.493064500000006,88.59143088,6.313512998999999,46.06382209,watermelon,Himachal Pradesh
107,10,49,25.83202912,89.00481725,6.755192025,45.24690619,watermelon,Himachal Pradesh
115,11,46,24.41592661,89.39655519,6.623167177000001,40.32161859,watermelon,Himachal Pradesh
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon,Himachal Pradesh
120,7,47,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon,Himachal Pradesh
91,12,46,24.64458469,85.49938185,6.343942518,48.31219031,watermelon,Himachal Pradesh
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon,Himachal Pradesh
113,19,46,25.41864024,81.12122989,6.286387658,49.52320689,watermelon,Himachal Pradesh
97,22,50,26.26028739,86.14585891,6.769893799999998,58.97878791,watermelon,Himachal Pradesh
117,30,50,24.90123934,87.20772913,6.744966312000001,46.59207341,watermelon,Himachal Pradesh
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,watermelon,Himachal Pradesh
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,watermelon,Himachal Pradesh
81,16,45,26.90435747,86.25426228,6.727468157000001,59.75980023,watermelon,Himachal Pradesh
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon,Himachal Pradesh
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon,Himachal Pradesh
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,watermelon,Himachal Pradesh
111,5,55,26.283443,84.42478917,6.520663422,50.78669728,watermelon,Himachal Pradesh
108,23,51,26.84366082,83.85039964,6.106500787000001,40.228644,watermelon,Himachal Pradesh
113,30,50,26.03967219,83.9862443,6.277484042999999,43.87712348,watermelon,Himachal Pradesh
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,watermelon,Himachal Pradesh
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon,Himachal Pradesh
114,21,55,25.4438391,87.93923120000002,6.472756256,57.51549686,watermelon,Himachal Pradesh
99,6,45,26.12588914,86.5507939,6.000975617000001,40.71210074,watermelon,Himachal Pradesh
92,20,55,25.10474753,87.52676159999999,6.5877912620000005,59.26519444,watermelon,Himachal Pradesh
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,watermelon,Himachal Pradesh
91,24,55,26.27061608,83.09194521,6.259086582999999,46.76837499,watermelon,Himachal Pradesh
110,21,54,26.73690828,87.82430156,6.747537642,47.46447019,watermelon,Himachal Pradesh
112,25,51,25.04746944,85.5667282,6.932537231,56.72496677,watermelon,Himachal Pradesh
89,25,54,24.69368934,85.56967628,6.353107392999999,48.99390828,watermelon,Himachal Pradesh
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,watermelon,Himachal Pradesh
83,22,54,25.89762315,81.96664832,6.277245253999999,54.49960057,watermelon,Himachal Pradesh
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,watermelon,Himachal Pradesh
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,watermelon,Himachal Pradesh
97,12,47,25.28784623,89.63667876,6.765094963999998,58.28697664,watermelon,Himachal Pradesh
110,7,45,26.63838589,84.69546874,6.189213927000001,48.32428609,watermelon,Himachal Pradesh
96,18,50,25.3310446,84.30533791,6.904241707000001,41.53218699,watermelon,Himachal Pradesh
83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,watermelon,Himachal Pradesh
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon,Himachal Pradesh
115,17,55,27.57826922,94.11878202,6.776533055,28.08253201,muskmelon,Himachal Pradesh
114,27,48,27.82054812,93.03555162,6.528404377999999,26.32405487,muskmelon,Himachal Pradesh
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon,Himachal Pradesh
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,muskmelon,Himachal Pradesh
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon,Himachal Pradesh
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon,Himachal Pradesh
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon,Himachal Pradesh
114,30,51,29.24908541,90.06998135,6.069171847000001,25.93496537,muskmelon,Himachal Pradesh
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,muskmelon,Himachal Pradesh
108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon,Himachal Pradesh
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,muskmelon,Himachal Pradesh
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon,Himachal Pradesh
83,7,45,29.08417927,90.73891887,6.704104127000001,25.33014238,muskmelon,Himachal Pradesh
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon,Himachal Pradesh
109,26,45,28.27973674,90.38971208,6.224535448999998,21.58992507,muskmelon,Himachal Pradesh
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,muskmelon,Himachal Pradesh
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,muskmelon,Himachal Pradesh
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon,Himachal Pradesh
82,18,48,29.09588297,94.16748386,6.1590508160000015,26.70581328,muskmelon,Himachal Pradesh
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon,Himachal Pradesh
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon,Himachal Pradesh
100,6,53,29.05248036,93.92217834,6.105909623,23.66620626,muskmelon,Himachal Pradesh
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon,Himachal Pradesh
91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,muskmelon,Himachal Pradesh
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon,Himachal Pradesh
117,25,53,29.11858526,92.12543021,6.413927319,24.52020164,muskmelon,Himachal Pradesh
85,21,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,muskmelon,Himachal Pradesh
104,25,55,29.81196601,90.36881284,6.123802502,22.68766503,muskmelon,Himachal Pradesh
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,muskmelon,Himachal Pradesh
116,25,50,29.26092798,92.92367701,6.088885814,28.70627683,muskmelon,Himachal Pradesh
100,17,48,29.72791119,94.29753295,6.367800632000001,26.52364146,muskmelon,Himachal Pradesh
110,25,54,28.91105641,90.78413842,6.425930938,23.44398467,muskmelon,Himachal Pradesh
104,25,51,28.96361426,93.88482153,6.469983276000002,23.56130173,muskmelon,Himachal Pradesh
107,11,54,28.59052369,91.33617236,6.094016337999999,29.44008034,muskmelon,Himachal Pradesh
98,26,52,27.33897716,90.69759008,6.150090898999999,28.69113835,muskmelon,Himachal Pradesh
88,17,52,29.90415889,90.75284363,6.646962425,25.37828397,muskmelon,Himachal Pradesh
87,25,46,27.42711692,90.02696201,6.379690748,21.7508774,muskmelon,Himachal Pradesh
120,8,46,29.55657523,90.70937262,6.732834334,28.36535596,muskmelon,Himachal Pradesh
95,13,46,29.84070774,93.76312893,6.126019932,23.28207838,muskmelon,Himachal Pradesh
108,22,47,28.53545677,91.72742702,6.161123579,25.1290048,muskmelon,Himachal Pradesh
82,13,52,27.11535046,94.86907886,6.442810053,26.51924782,muskmelon,Himachal Pradesh
120,23,55,27.84492803,91.60666594,6.732049075,26.47844429,muskmelon,Himachal Pradesh
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon,Himachal Pradesh
95,23,45,27.82424457,90.56698742,6.266208727,21.19014526,muskmelon,Himachal Pradesh
106,10,49,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon,Himachal Pradesh
99,12,52,28.69708334,94.30759855,6.002927293,22.21807088,muskmelon,Himachal Pradesh
106,20,51,29.73019662,90.97015715,6.342573112,20.49035619,muskmelon,Himachal Pradesh
83,11,53,29.54097171,92.91778307,6.163921247999999,21.9653077,muskmelon,Himachal Pradesh
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,muskmelon,Himachal Pradesh
98,26,49,27.29035669,90.53330091,6.130160472999999,23.49535234,muskmelon,Himachal Pradesh
113,20,48,27.46583649,94.87679041,6.440584681,27.27899847,muskmelon,Himachal Pradesh
101,17,47,29.49401389,94.72981338,6.185053234,26.30820876,muskmelon,Himachal Pradesh
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon,Himachal Pradesh
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon,Himachal Pradesh
95,21,47,27.93114233,93.56161439,6.431970877,20.66127836,muskmelon,Himachal Pradesh
109,12,48,29.45771748,92.12534736,6.708743843,20.76212031,muskmelon,Himachal Pradesh
118,12,47,27.96872279,92.17444796,6.010739645,28.94766949,muskmelon,Himachal Pradesh
100,14,49,29.48882958,91.07574233,6.365956657999999,26.01909355,muskmelon,Himachal Pradesh
89,9,47,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon,Himachal Pradesh
95,16,46,27.076726500000003,90.14362622,6.74669542,24.4514648,muskmelon,Himachal Pradesh
95,7,45,27.30008597,90.80015308,6.031665834,25.09484511,muskmelon,Himachal Pradesh
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon,Himachal Pradesh
93,20,50,29.93061247,93.22980899,6.448792688999999,24.34814338,muskmelon,Himachal Pradesh
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon,Himachal Pradesh
111,5,47,28.03306461,91.47355778,6.2744528110000015,21.17924769,muskmelon,Himachal Pradesh
111,5,52,29.8843055,94.0371147,6.135996372,21.0000988,muskmelon,Himachal Pradesh
111,15,54,27.7058373,92.91185695,6.194090172,22.06207161,muskmelon,Himachal Pradesh
89,11,47,29.78714005,94.65343534,6.327822962000001,27.8659442,muskmelon,Himachal Pradesh
110,15,48,28.57819995,92.86597437,6.2125672110000005,27.598717800000006,muskmelon,Himachal Pradesh
95,30,52,29.48069921,90.33698678,6.640470862999999,26.0365768,muskmelon,Himachal Pradesh
115,12,52,27.51492243,94.96218673,6.685553129,21.01796432,muskmelon,Himachal Pradesh
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon,Himachal Pradesh
102,11,45,29.03167341,93.12603235,6.35544263,24.15591199,muskmelon,Himachal Pradesh
94,5,55,28.5854649,91.89216849,6.085682343999999,26.88372572,muskmelon,Himachal Pradesh
84,18,46,27.08808014,93.42402083,6.781050372999999,25.32159689,muskmelon,Himachal Pradesh
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon,Himachal Pradesh
80,18,52,27.87317436,91.14849627,6.484799661,24.05207925,muskmelon,Himachal Pradesh
86,18,45,28.96586565,90.71832938,6.566759102000001,22.25838137,muskmelon,Himachal Pradesh
113,28,48,28.87726019,92.48839665,6.170520517999999,24.44267592,muskmelon,Himachal Pradesh
115,18,53,29.17052093,94.19790371,6.0124803510000016,22.06994464,muskmelon,Himachal Pradesh
82,20,54,29.34033587,90.01506395,6.541150335,21.44532907,muskmelon,Himachal Pradesh
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,muskmelon,Himachal Pradesh
117,25,54,28.68275966,92.50969311,6.150686363999999,29.11187663,muskmelon,Himachal Pradesh
83,15,49,28.92705913,91.39356832,6.438008152999999,23.20076686,muskmelon,Himachal Pradesh
120,16,51,27.99901833,91.64193051,6.547041902999999,23.28618248,muskmelon,Himachal Pradesh
111,5,50,27.59350075,91.79742953,6.399891457000001,24.84266123,muskmelon,Himachal Pradesh
85,21,47,29.87331077,90.60932469,6.186770318,24.69720481,muskmelon,Himachal Pradesh
90,23,54,28.55852465,90.45773041,6.159020864,27.26588346,muskmelon,Himachal Pradesh
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon,Himachal Pradesh
102,11,47,27.98780984,92.78226196,6.504906978999999,27.14509034,muskmelon,Himachal Pradesh
80,18,51,28.05380704,91.81758779,6.706053225,20.76582087,muskmelon,Himachal Pradesh
87,21,52,27.350629600000005,94.29119509999998,6.067665497999999,27.21244021,muskmelon,Himachal Pradesh
114,8,52,29.34081108,94.5513539,6.419083092,28.22908103,muskmelon,Himachal Pradesh
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,muskmelon,Himachal Pradesh
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon,Himachal Pradesh
96,13,55,29.5275305,94.57459443,6.700337732,21.13545688,muskmelon,Himachal Pradesh
